                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2068,                 4.5275,                  3.057,                0.32091,                0.08234,                0.05035,                0.01773,                 2.6014,                 3.1247,                 2.7785,              0.0033182,              0.0033182,              0.0033182
                      2,                 2.0326,                  2.858,                 1.9984,                0.46823,                0.28894,                0.27899,                0.17392,                   1.46,                 2.0108,                 1.8882,              0.0066296,              0.0066296,              0.0066296
                      3,                  1.721,                 2.1608,                 1.7297,                0.51336,                0.50054,                0.50004,                0.28822,                 1.4813,                 1.5689,                 1.9002,              0.0099189,              0.0099189,              0.0099189
                      4,                 1.5283,                 1.7429,                 1.5623,                0.64949,                0.61028,                0.63592,                0.40955,                 1.3045,                 1.2129,                 1.6911,               0.009901,               0.009901,               0.009901
                      5,                 1.4249,                 1.4914,                 1.4925,                0.64585,                0.68371,                0.70416,                0.43662,                 1.3494,                 1.1138,                 1.7151,               0.009868,               0.009868,               0.009868
                      6,                 1.3537,                 1.3667,                 1.4279,                0.52155,                0.45157,                0.45516,                0.28275,                 1.7894,                 2.1353,                 2.0376,               0.009835,               0.009835,               0.009835
                      7,                 1.3005,                 1.2604,                 1.3893,                 0.7314,                0.75643,                0.81767,                0.55052,                 1.1673,                 0.7996,                 1.5408,               0.009802,               0.009802,               0.009802
                      8,                 1.2759,                  1.216,                 1.3665,                 0.7503,                0.80961,                0.83503,                0.57752,                 1.1158,                 0.7887,                 1.5057,               0.009769,               0.009769,               0.009769
                      9,                 1.2392,                 1.1467,                 1.3395,                0.76221,                 0.8681,                0.86526,                0.60494,                 1.0918,                0.72613,                 1.4838,               0.009736,               0.009736,               0.009736
                     10,                 1.2213,                 1.1083,                  1.325,                0.80543,                 0.8527,                0.87994,                0.61282,                 1.0829,                0.70563,                 1.4736,               0.009703,               0.009703,               0.009703
                     11,                 1.2059,                  1.075,                 1.3179,                 0.8066,                 0.8547,                0.88474,                0.62202,                 1.0869,                0.71975,                 1.4736,                0.00967,                0.00967,                0.00967
                     12,                 1.1843,                 1.0472,                 1.3007,                0.83552,                0.87864,                0.91027,                0.65365,                 1.0331,                0.63112,                 1.4207,               0.009637,               0.009637,               0.009637
                     13,                 1.1723,                 1.0193,                 1.2955,                0.82995,                0.89672,                0.90793,                0.64995,                 1.0313,                0.62612,                 1.4239,               0.009604,               0.009604,               0.009604
