                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   3.98,                 4.7897,                 3.6186,                0.37768,                0.05491,                0.02255,                 0.0096,                 2.9105,                 3.7922,                 3.2153,              0.0033182,              0.0033182,              0.0033182
                      2,                 2.3427,                  3.072,                 2.2569,                0.56295,                0.25792,                0.23651,                0.11712,                 1.9807,                 2.2938,                 2.3517,              0.0066296,              0.0066296,              0.0066296
                      3,                 1.8518,                 2.3634,                 1.8425,                0.55374,                 0.4397,                0.42724,                0.24194,                 1.5499,                 1.7832,                 1.9521,              0.0099189,              0.0099189,              0.0099189
                      4,                 1.6177,                 1.9117,                 1.6312,                0.74928,                0.58435,                0.66072,                0.43651,                 1.2471,                 1.2098,                 1.6426,               0.009901,               0.009901,               0.009901
                      5,                 1.4924,                 1.6163,                 1.5414,                0.69616,                0.67856,                0.72549,                0.47725,                 1.2334,                 1.0255,                 1.6131,               0.009868,               0.009868,               0.009868
                      6,                 1.4097,                 1.4661,                 1.4678,                0.69263,                0.70759,                0.75498,                0.49701,                 1.2122,                 1.0091,                 1.5937,               0.009835,               0.009835,               0.009835
                      7,                 1.3589,                 1.3597,                 1.4281,                0.72654,                0.76339,                0.79651,                0.53103,                 1.1995,                0.87157,                 1.5689,               0.009802,               0.009802,               0.009802
                      8,                 1.3265,                 1.2974,                 1.4003,                0.70928,                0.75999,                0.78478,                0.52585,                 1.1844,                0.89365,                 1.5722,               0.009769,               0.009769,               0.009769
                      9,                 1.2858,                 1.2237,                 1.3716,                 0.7663,                0.79023,                0.81562,                0.55599,                 1.1659,                0.83523,                 1.5428,               0.009736,               0.009736,               0.009736
                     10,                 1.2677,                 1.1822,                 1.3553,                0.76358,                0.79491,                0.82786,                0.56804,                  1.141,                0.77806,                 1.5225,               0.009703,               0.009703,               0.009703
                     11,                  1.246,                 1.1425,                 1.3469,                0.80716,                0.85547,                0.87519,                0.61365,                 1.1044,                0.71629,                 1.4837,                0.00967,                0.00967,                0.00967
                     12,                 1.2275,                 1.1117,                 1.3299,                0.80757,                0.84088,                0.87683,                0.60879,                 1.1174,                0.72365,                 1.4982,               0.009637,               0.009637,               0.009637
                     13,                   1.21,                 1.0848,                 1.3226,                 0.8097,                0.87111,                0.88247,                0.62588,                  1.063,                0.66333,                 1.4585,               0.009604,               0.009604,               0.009604
                     14,                 1.1986,                 1.0538,                 1.3094,                 0.8248,                0.84045,                0.88424,                0.62693,                 1.0654,                0.67698,                 1.4578,               0.009571,               0.009571,               0.009571
                     15,                  1.186,                 1.0357,                 1.3009,                0.77628,                0.87583,                0.87315,                0.61736,                 1.0645,                0.67635,                 1.4448,               0.009538,               0.009538,               0.009538
                     16,                 1.1638,                  1.005,                 1.2838,                0.79403,                0.88042,                0.88457,                0.63598,                 1.0289,                0.64063,                 1.4204,               0.009505,               0.009505,               0.009505
                     17,                 1.1588,                0.99395,                 1.2842,                0.83857,                0.88077,                0.90601,                0.64597,                 1.0301,                0.63063,                 1.4126,               0.009472,               0.009472,               0.009472
                     18,                 1.1506,                0.98462,                 1.2824,                0.79064,                0.88629,                0.88424,                0.61969,                 1.0772,                0.64978,                 1.4616,               0.009439,               0.009439,               0.009439
                     19,                 1.1441,                0.95729,                 1.2736,                0.84601,                0.88101,                 0.9116,                0.66038,                 1.0235,                0.60228,                 1.4096,               0.009406,               0.009406,               0.009406
                     20,                 1.1237,                0.94133,                 1.2559,                0.84616,                0.89008,                 0.9155,                0.66019,                 1.0191,                0.58645,                 1.4086,               0.009373,               0.009373,               0.009373
                     21,                 1.1231,                0.92441,                 1.2604,                 0.8468,                 0.8962,                0.92031,                0.67215,                0.98247,                0.56676,                 1.3719,                0.00934,                0.00934,                0.00934
                     22,                 1.1155,                0.91687,                 1.2504,                0.83139,                0.89037,                0.90868,                0.65752,                0.99809,                0.58865,                 1.3879,               0.009307,               0.009307,               0.009307
                     23,                 1.1111,                0.90461,                 1.2544,                0.85367,                0.87786,                0.91256,                0.66686,                0.97921,                0.55984,                  1.369,               0.009274,               0.009274,               0.009274
