                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4957,                 4.8605,                 3.5896,                0.31394,                0.07792,                0.04261,                0.02178,                 2.0087,                 3.7492,                 3.0513,              0.0001105,              0.0001105,              0.0001105
                      2,                 2.2714,                 3.2756,                 2.4529,                0.59491,                0.26607,                0.28356,                0.17234,                 1.6014,                 1.9847,                 2.2404,             0.00021711,             0.00021711,             0.00021711
                      3,                 1.8708,                 2.3485,                  2.016,                0.61347,                0.39523,                0.39748,                0.24128,                 1.4425,                 1.6012,                 1.9245,             0.00031933,             0.00031933,             0.00031933
                      4,                 1.6524,                 1.9138,                  1.781,                0.64194,                0.54871,                0.56651,                0.36648,                 1.3116,                   1.23,                 1.7751,             0.00031322,             0.00031322,             0.00031322
                      5,                 1.5547,                 1.6868,                 1.6812,                0.59999,                0.63964,                0.64672,                0.41131,                 1.3141,                 1.1381,                 1.7516,             0.00030663,             0.00030663,             0.00030663
                      6,                 1.4759,                 1.5501,                 1.6029,                0.59251,                0.69438,                  0.705,                0.46489,                 1.2427,                0.96728,                 1.6752,             0.00030003,             0.00030003,             0.00030003
                      7,                 1.4103,                 1.4319,                 1.5433,                0.73417,                0.72278,                0.77048,                  0.527,                 1.1456,                0.91308,                 1.5766,             0.00029344,             0.00029344,             0.00029344
                      8,                 1.3819,                 1.3634,                 1.5098,                0.74904,                0.74732,                0.78309,                0.54053,                 1.1298,                0.86485,                 1.5594,             0.00028685,             0.00028685,             0.00028685
                      9,                 1.3324,                 1.2931,                  1.466,                 0.7973,                0.75453,                0.81547,                 0.5683,                 1.1118,                0.79507,                 1.5391,             0.00028025,             0.00028025,             0.00028025
                     10,                 1.3068,                 1.2504,                 1.4406,                0.77064,                 0.7737,                0.82084,                0.56787,                 1.0942,                0.79258,                  1.513,             0.00027366,             0.00027366,             0.00027366
                     11,                 1.2878,                 1.2095,                 1.4263,                0.82521,                0.79129,                0.85826,                0.60339,                 1.0774,                0.73787,                 1.4949,             0.00026707,             0.00026707,             0.00026707
                     12,                 1.2683,                 1.1854,                 1.4053,                0.80887,                 0.7931,                0.84433,                0.59751,                 1.0785,                0.73292,                 1.4965,             0.00026047,             0.00026047,             0.00026047
                     13,                  1.246,                 1.1562,                 1.3909,                 0.7693,                0.83311,                0.84349,                0.58722,                 1.1195,                0.73391,                 1.5281,             0.00025388,             0.00025388,             0.00025388
                     14,                 1.2271,                 1.1194,                 1.3707,                0.80133,                0.83058,                0.86144,                0.60699,                 1.0809,                0.69849,                 1.4907,             0.00024729,             0.00024729,             0.00024729
                     15,                 1.2182,                 1.1068,                 1.3618,                0.79022,                0.83924,                0.86525,                0.60609,                 1.0962,                0.70104,                 1.5098,             0.00024069,             0.00024069,             0.00024069
                     16,                 1.1962,                 1.0794,                 1.3429,                0.82044,                0.83237,                0.87201,                0.62782,                 1.0239,                0.67438,                  1.443,              0.0002341,              0.0002341,              0.0002341
                     17,                 1.1896,                 1.0665,                 1.3408,                0.81095,                0.86706,                0.88823,                0.64032,                 1.0222,                 0.6416,                 1.4393,             0.00022751,             0.00022751,             0.00022751
                     18,                 1.1766,                 1.0534,                  1.333,                0.84031,                0.86253,                0.88774,                0.63678,                 1.0421,                0.63572,                  1.444,             0.00022091,             0.00022091,             0.00022091
                     19,                  1.172,                 1.0364,                 1.3216,                0.83044,                0.84464,                0.89193,                0.64943,                  1.001,                0.62563,                 1.4075,             0.00021432,             0.00021432,             0.00021432
                     20,                 1.1483,                 1.0132,                 1.3039,                0.82175,                0.88229,                0.88916,                 0.6416,                 1.0255,                0.62841,                 1.4235,             0.00020773,             0.00020773,             0.00020773
                     21,                  1.145,                 1.0029,                  1.303,                0.82927,                0.88424,                0.90176,                 0.6528,                 1.0018,                0.61073,                 1.4069,             0.00020113,             0.00020113,             0.00020113
                     22,                 1.1411,                0.99763,                  1.297,                 0.8058,                0.87727,                0.88863,                0.64249,                 1.0149,                0.62261,                 1.4247,             0.00019454,             0.00019454,             0.00019454
                     23,                 1.1308,                0.98481,                 1.2935,                0.84322,                0.86087,                0.89613,                0.65787,                0.98074,                0.59313,                 1.3909,             0.00018795,             0.00018795,             0.00018795
                     24,                 1.1164,                 0.9719,                 1.2782,                0.81093,                0.89369,                 0.8984,                0.63935,                 1.0604,                0.61773,                 1.4588,             0.00018135,             0.00018135,             0.00018135
                     25,                 1.1107,                0.96305,                 1.2699,                0.83675,                0.88089,                 0.9059,                0.66034,                 1.0039,                0.60556,                 1.4008,             0.00017476,             0.00017476,             0.00017476
                     26,                 1.1094,                0.95789,                  1.268,                0.85863,                0.87439,                0.90737,                0.66289,                0.98651,                0.57651,                  1.392,             0.00016817,             0.00016817,             0.00016817
                     27,                 1.1013,                0.94442,                 1.2693,                0.87305,                0.87328,                0.91298,                 0.6703,                0.97438,                0.57823,                 1.3787,             0.00016157,             0.00016157,             0.00016157
                     28,                 1.0872,                0.92872,                 1.2587,                 0.8765,                 0.8582,                0.90925,                0.66913,                 0.9644,                0.57394,                 1.3665,             0.00015498,             0.00015498,             0.00015498
                     29,                 1.0868,                0.93312,                  1.252,                 0.8619,                0.88197,                0.91075,                0.67079,                0.95672,                0.56414,                 1.3616,             0.00014838,             0.00014838,             0.00014838
                     30,                 1.0891,                0.93154,                  1.251,                0.85219,                 0.8879,                0.91866,                0.66328,                 1.0175,                0.57464,                 1.4142,             0.00014179,             0.00014179,             0.00014179
                     31,                 1.0859,                0.91609,                 1.2584,                0.86307,                0.90555,                0.92708,                 0.6888,                0.95036,                0.55196,                 1.3546,              0.0001352,              0.0001352,              0.0001352
                     32,                 1.0732,                0.89887,                  1.243,                0.86268,                0.88589,                0.91525,                 0.6821,                 0.9482,                0.55616,                 1.3536,              0.0001286,              0.0001286,              0.0001286
                     33,                 1.0668,                0.89842,                 1.2344,                0.83868,                0.90475,                  0.912,                0.67874,                0.94621,                 0.5499,                 1.3528,             0.00012201,             0.00012201,             0.00012201
                     34,                 1.0628,                0.89437,                 1.2335,                0.84912,                0.90935,                0.92421,                0.68736,                0.94597,                0.54411,                 1.3515,             0.00011542,             0.00011542,             0.00011542
