                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2459,                 4.9306,                  3.909,                0.39257,                0.03538,                0.00627,                0.00255,                 2.5437,                 3.8999,                 3.3829,             0.00011075,             0.00011075,             0.00011075
                      2,                 2.7375,                 3.5977,                 2.7348,                0.61985,                0.15312,                0.12194,                 0.0644,                 1.9466,                 2.5737,                 2.5424,             0.00021736,             0.00021736,             0.00021736
                      3,                 2.1124,                 2.7292,                 2.1164,                0.60879,                0.29243,                0.31467,                 0.1861,                 1.6012,                 1.9781,                 2.1184,             0.00031957,             0.00031957,             0.00031957
                      4,                 1.8607,                 2.3049,                 1.8812,                0.60128,                0.42319,                0.45701,                0.28305,                 1.4382,                 1.5485,                  1.898,             0.00031322,             0.00031322,             0.00031322
                      5,                 1.7186,                  2.022,                 1.7608,                0.67734,                0.50214,                0.56261,                0.34444,                  1.457,                  1.323,                 1.8693,             0.00030663,             0.00030663,             0.00030663
                      6,                 1.6265,                  1.855,                 1.6956,                0.63496,                0.58944,                0.61135,                0.39408,                 1.3123,                 1.1983,                 1.7523,             0.00030003,             0.00030003,             0.00030003
                      7,                  1.558,                   1.74,                 1.6384,                0.70925,                0.61883,                0.68046,                0.45759,                 1.2255,                 1.0599,                 1.6696,             0.00029344,             0.00029344,             0.00029344
                      8,                 1.4983,                 1.6329,                 1.5934,                0.74576,                 0.6439,                 0.7035,                0.47165,                 1.2142,                0.98984,                 1.6655,             0.00028685,             0.00028685,             0.00028685
                      9,                 1.4555,                 1.5535,                 1.5491,                0.73047,                 0.6887,                0.73544,                0.48559,                  1.235,                0.95161,                 1.6563,             0.00028025,             0.00028025,             0.00028025
                     10,                   1.42,                 1.4906,                 1.5217,                0.72188,                0.72225,                0.75042,                0.51269,                 1.1522,                0.92421,                 1.5916,             0.00027366,             0.00027366,             0.00027366
                     11,                 1.3954,                 1.4336,                 1.5069,                 0.7005,                0.74324,                 0.7615,                0.52105,                  1.152,                0.89807,                 1.5917,             0.00026707,             0.00026707,             0.00026707
                     12,                 1.3746,                    1.4,                  1.486,                0.73894,                0.75796,                0.78547,                0.54169,                 1.1431,                0.88913,                 1.5701,             0.00026047,             0.00026047,             0.00026047
                     13,                 1.3483,                 1.3619,                 1.4639,                0.72131,                0.79227,                0.80056,                0.54676,                 1.1268,                0.81609,                  1.553,             0.00025388,             0.00025388,             0.00025388
