                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5442,                 4.8293,                 3.7927,                0.39261,                0.07845,                0.04972,                0.02481,                 2.0441,                 3.5605,                 2.9869,              0.0001105,              0.0001105,              0.0001105
                      2,                 2.2856,                 3.1792,                 2.7023,                0.53938,                0.29202,                0.24534,                0.13589,                 1.7471,                 2.0538,                 2.3009,             0.00019957,             0.00019957,             0.00019957
                      3,                  1.855,                  2.263,                 2.1878,                0.59314,                 0.4346,                0.45257,                0.28913,                 1.3848,                 1.4761,                 1.9444,             0.00026666,             0.00026666,             0.00026666
                      4,                 1.6366,                 1.8696,                 1.9701,                0.62418,                0.55187,                0.57305,                0.36583,                 1.3335,                 1.2608,                 1.8127,              0.0002341,              0.0002341,              0.0002341
                      5,                 1.5345,                 1.6604,                 1.8524,                0.65768,                0.61221,                0.66524,                0.44516,                  1.217,                 1.0786,                  1.699,             0.00020113,             0.00020113,             0.00020113
                      6,                 1.4568,                 1.5242,                 1.7597,                0.70091,                0.63563,                0.71177,                0.47675,                 1.1836,                 1.0296,                 1.6423,             0.00016817,             0.00016817,             0.00016817
                      7,                 1.3933,                 1.4337,                  1.699,                0.71365,                 0.6671,                0.73247,                 0.4964,                 1.1892,                0.97072,                 1.6485,              0.0001352,              0.0001352,              0.0001352
                      8,                 1.3573,                 1.3628,                 1.6563,                0.74753,                0.69512,                0.75028,                0.50507,                 1.1963,                0.91921,                 1.6446,             0.00010223,             0.00010223,             0.00010223
                      9,                 1.3143,                 1.3151,                 1.6198,                0.76671,                0.68669,                0.76488,                0.53147,                  1.106,                0.86711,                 1.5552,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     10,                   1.29,                 1.2811,                  1.602,                 0.7477,                0.71343,                0.77681,                0.54761,                 1.0905,                0.84477,                 1.5535,             3.6297e-05,             3.6297e-05,             3.6297e-05
