                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0865,                 4.2392,                 1.5652,                0.30337,                0.19711,                0.14149,                0.08771,                  1.441,                 2.7466,                 1.1299,              0.0001105,              0.0001105,              0.0001105
                      2,                 1.5249,                 2.7053,                 1.1809,                0.60495,                0.41113,                0.46214,                0.28742,                 1.3231,                 1.5573,                 1.0894,             0.00021711,             0.00021711,             0.00021711
                      3,                 1.3803,                 2.0031,                 1.1325,                0.76513,                0.59707,                0.68169,                0.46096,                 1.1642,                 1.1366,                 1.0585,             0.00031933,             0.00031933,             0.00031933
                      4,                 1.2922,                 1.6677,                 1.0987,                0.75712,                 0.6531,                0.73937,                0.50203,                 1.1514,                 0.9988,                  1.046,             0.00031322,             0.00031322,             0.00031322
                      5,                 1.2352,                 1.4931,                 1.0803,                0.79487,                0.73225,                0.80673,                0.55275,                 1.1315,                0.88215,                  1.039,             0.00030663,             0.00030663,             0.00030663
                      6,                 1.2051,                  1.382,                  1.067,                0.76661,                0.78379,                0.82066,                0.56773,                 1.1055,                0.81706,                 1.0362,             0.00030003,             0.00030003,             0.00030003
                      7,                 1.1745,                 1.2913,                 1.0538,                0.79642,                 0.8128,                0.85608,                0.59216,                 1.0948,                0.76098,                 1.0342,             0.00029344,             0.00029344,             0.00029344
                      8,                 1.1511,                  1.243,                 1.0434,                0.77146,                0.82058,                0.85004,                0.58908,                  1.082,                0.75722,                 1.0198,             0.00028685,             0.00028685,             0.00028685
                      9,                 1.1289,                 1.1853,                 1.0351,                0.78724,                0.85917,                0.87899,                0.62764,                 1.0322,                0.70614,                 1.0104,             0.00028025,             0.00028025,             0.00028025
                     10,                 1.1168,                 1.1489,                 1.0296,                0.78804,                0.87489,                0.87958,                0.62551,                 1.0318,                0.70832,                 1.0098,             0.00027366,             0.00027366,             0.00027366
                     11,                 1.1092,                 1.1199,                 1.0291,                0.82612,                0.85771,                0.88872,                 0.6462,                0.99726,                0.66798,                 1.0021,             0.00026707,             0.00026707,             0.00026707
                     12,                  1.087,                 1.0873,                 1.0184,                0.81969,                0.88421,                0.89239,                0.64585,                 1.0006,                0.66101,                 1.0033,             0.00026047,             0.00026047,             0.00026047
                     13,                 1.0794,                 1.0603,                 1.0176,                0.81362,                0.88547,                0.90339,                0.64365,                 1.0401,                0.65623,                 1.0028,             0.00025388,             0.00025388,             0.00025388
                     14,                 1.0693,                  1.035,                  1.012,                0.82779,                0.87755,                0.89515,                0.65393,                0.96865,                0.63473,                0.99092,             0.00024729,             0.00024729,             0.00024729
                     15,                  1.063,                 1.0215,                 1.0085,                0.82361,                0.87827,                0.90156,                0.64114,                  1.026,                0.64273,                  1.016,             0.00024069,             0.00024069,             0.00024069
                     16,                  1.047,                 1.0008,                 1.0025,                0.85817,                0.88489,                0.91809,                0.67265,                0.96105,                0.61397,                0.98629,              0.0002341,              0.0002341,              0.0002341
                     17,                 1.0391,                0.98201,                 1.0009,                0.86503,                0.89146,                0.92541,                0.68087,                0.95768,                0.58821,                0.99091,             0.00022751,             0.00022751,             0.00022751
                     18,                 1.0342,                 0.9718,                0.99789,                0.82009,                0.91198,                0.91589,                 0.6733,                0.96341,                0.59947,                0.98367,             0.00022091,             0.00022091,             0.00022091
