                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7082,                 5.3049,                 4.0711,                      0,                      0,                      0,                      0,                 2.8077,                 4.7822,                 3.7106,              0.0001105,              0.0001105,              0.0001105
                      2,                 3.6994,                 4.7745,                 3.4422,                0.04456,                0.15212,                0.01024,                 0.0037,                  2.441,                 3.7063,                  2.761,             0.00021711,             0.00021711,             0.00021711
                      3,                 2.7862,                 3.6998,                  2.453,                0.56131,                0.10095,                 0.0938,                0.04317,                 2.1086,                 2.9165,                  2.044,             0.00031933,             0.00031933,             0.00031933
                      4,                 2.2472,                 3.0834,                 1.9663,                 0.5164,                0.27306,                0.27633,                0.16596,                 1.6268,                 2.1526,                 1.6117,             0.00031322,             0.00031322,             0.00031322
                      5,                 1.9688,                 2.6782,                 1.7602,                0.76026,                0.36161,                0.41923,                0.26436,                 1.4828,                 1.7332,                 1.4504,             0.00030663,             0.00030663,             0.00030663
                      6,                 1.8317,                 2.3769,                 1.6321,                0.75656,                0.41887,                0.51642,                0.32446,                 1.4223,                 1.4381,                  1.406,             0.00030003,             0.00030003,             0.00030003
                      7,                 1.7063,                 2.1423,                 1.5362,                0.79062,                0.50636,                0.59717,                0.38882,                 1.3135,                 1.2547,                 1.3165,             0.00029344,             0.00029344,             0.00029344
                      8,                 1.6499,                 2.0038,                 1.4847,                0.75775,                0.54011,                0.63498,                0.41446,                 1.2842,                 1.1323,                 1.2731,             0.00028685,             0.00028685,             0.00028685
                      9,                 1.5812,                 1.8695,                 1.4293,                0.75679,                0.60321,                0.68011,                0.45051,                 1.2521,                 1.0489,                 1.2628,             0.00028025,             0.00028025,             0.00028025
                     10,                 1.5302,                 1.7624,                 1.3892,                0.73624,                0.61397,                0.70473,                0.46681,                 1.2214,                 1.0164,                 1.2363,             0.00027366,             0.00027366,             0.00027366
                     11,                 1.4946,                 1.6877,                 1.3599,                 0.7247,                0.67687,                0.73524,                0.49793,                 1.1689,                0.96345,                 1.2076,             0.00026707,             0.00026707,             0.00026707
                     12,                 1.4681,                  1.639,                 1.3385,                0.77269,                  0.686,                0.76041,                0.51746,                 1.1709,                0.92029,                 1.2019,             0.00026047,             0.00026047,             0.00026047
                     13,                 1.4503,                 1.5879,                 1.3272,                0.79096,                0.70075,                0.77547,                0.51895,                 1.1857,                 0.8925,                 1.2107,             0.00025388,             0.00025388,             0.00025388
                     14,                   1.42,                 1.5369,                 1.3056,                0.81963,                0.70179,                0.79138,                0.54048,                  1.163,                0.85771,                 1.1859,             0.00024729,             0.00024729,             0.00024729
                     15,                 1.4048,                  1.504,                 1.2905,                0.78538,                0.70444,                0.79088,                0.54563,                 1.1161,                0.83322,                 1.1596,             0.00024069,             0.00024069,             0.00024069
                     16,                 1.3818,                 1.4701,                 1.2739,                 0.7847,                0.74771,                0.79498,                0.55447,                  1.116,                0.82192,                 1.1526,              0.0002341,              0.0002341,              0.0002341
                     17,                 1.3648,                 1.4428,                 1.2656,                0.81264,                0.74149,                0.81379,                0.55946,                 1.1243,                0.78909,                 1.1602,             0.00022751,             0.00022751,             0.00022751
                     18,                  1.348,                 1.4171,                 1.2566,                0.79203,                0.75216,                0.81391,                0.56288,                 1.0994,                0.80314,                 1.1387,             0.00022091,             0.00022091,             0.00022091
                     19,                 1.3417,                  1.387,                 1.2476,                 0.8046,                0.75997,                0.82282,                0.57053,                  1.097,                0.76635,                 1.1295,             0.00021432,             0.00021432,             0.00021432
                     20,                 1.3181,                 1.3541,                 1.2297,                0.80372,                0.76685,                0.81748,                0.57043,                 1.0873,                0.76044,                 1.1208,             0.00020773,             0.00020773,             0.00020773
                     21,                 1.3105,                 1.3386,                  1.228,                0.82047,                0.77545,                0.83465,                0.58237,                 1.0827,                0.74363,                 1.1222,             0.00020113,             0.00020113,             0.00020113
                     22,                 1.3041,                 1.3313,                  1.224,                0.81098,                0.74598,                 0.8243,                 0.5784,                  1.077,                 0.7541,                 1.1199,             0.00019454,             0.00019454,             0.00019454
                     23,                 1.2881,                 1.2958,                 1.2117,                0.82228,                0.76727,                0.83578,                0.59412,                 1.0719,                0.73312,                   1.12,             0.00018795,             0.00018795,             0.00018795
                     24,                 1.2728,                 1.2861,                 1.2031,                0.81589,                0.78037,                0.83709,                0.58369,                 1.1174,                0.74044,                 1.1368,             0.00018135,             0.00018135,             0.00018135
                     25,                 1.2666,                  1.271,                 1.1965,                0.85391,                0.76652,                0.84357,                0.59048,                 1.0775,                0.71245,                 1.1128,             0.00017476,             0.00017476,             0.00017476
                     26,                 1.2584,                 1.2591,                 1.1925,                0.84362,                0.77178,                0.84149,                 0.5928,                 1.0721,                0.72281,                 1.1157,             0.00016817,             0.00016817,             0.00016817
                     27,                 1.2472,                 1.2354,                 1.1904,                0.78575,                0.81781,                0.84804,                0.60479,                 1.0444,                0.70025,                 1.0975,             0.00016157,             0.00016157,             0.00016157
                     28,                 1.2346,                  1.211,                 1.1791,                0.81835,                0.81175,                0.85973,                0.60994,                  1.048,                0.69982,                 1.0991,             0.00015498,             0.00015498,             0.00015498
                     29,                 1.2368,                 1.2166,                 1.1806,                0.85178,                0.76926,                  0.853,                0.60866,                 1.0465,                0.68305,                 1.0943,             0.00014838,             0.00014838,             0.00014838
                     30,                 1.2387,                 1.2124,                 1.1782,                0.84498,                0.79458,                0.86089,                 0.6156,                 1.0417,                0.66795,                 1.0933,             0.00014179,             0.00014179,             0.00014179
                     31,                 1.2224,                 1.1874,                 1.1722,                0.83271,                0.80608,                  0.867,                0.62122,                 1.0329,                0.65727,                 1.0863,              0.0001352,              0.0001352,              0.0001352
                     32,                  1.223,                 1.1685,                 1.1671,                0.76355,                0.84357,                0.86474,                0.62214,                 1.0314,                0.66718,                 1.0891,              0.0001286,              0.0001286,              0.0001286
                     33,                 1.2084,                 1.1649,                 1.1601,                 0.7763,                0.83775,                0.86482,                0.61403,                 1.0475,                0.66887,                 1.0967,             0.00012201,             0.00012201,             0.00012201
                     34,                 1.2031,                 1.1584,                 1.1568,                0.79178,                0.84476,                0.87447,                0.63255,                 1.0134,                0.65384,                 1.0758,             0.00011542,             0.00011542,             0.00011542
                     35,                 1.1972,                 1.1443,                 1.1534,                0.80736,                0.83102,                0.87424,                0.63154,                 1.0199,                0.64775,                 1.0782,             0.00010882,             0.00010882,             0.00010882
                     36,                 1.1983,                 1.1499,                  1.158,                 0.8255,                0.81927,                0.87601,                0.63257,                 1.0178,                0.63698,                 1.0793,             0.00010223,             0.00010223,             0.00010223
                     37,                 1.1884,                 1.1268,                 1.1495,                0.78311,                0.85996,                0.87777,                 0.6334,                 1.0164,                0.64452,                 1.0792,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     38,                 1.1886,                 1.1308,                 1.1455,                0.79167,                0.84566,                0.88093,                  0.637,                 1.0108,                0.64131,                 1.0731,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     39,                 1.1774,                 1.1134,                 1.1418,                0.82097,                0.83586,                 0.8876,                0.64158,                 1.0016,                0.62496,                 1.0699,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     40,                 1.1778,                 1.1155,                 1.1479,                0.78016,                0.86627,                 0.8853,                0.64043,                 1.0053,                0.63452,                 1.0701,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     41,                 1.1245,                0.98063,                 1.1541,                0.86135,                0.81863,                0.89572,                0.64487,                 1.0012,                0.62241,                 1.0684,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     42,                 1.1121,                0.97075,                 1.1417,                0.83987,                0.82887,                 0.8903,                0.64523,                0.99795,                0.62481,                  1.063,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     43,                 1.1056,                0.95609,                 1.1429,                0.83231,                0.84691,                0.89494,                0.64743,                0.99631,                0.61628,                 1.0612,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     44,                 1.0943,                0.94725,                 1.1383,                0.84043,                0.84308,                0.89428,                0.65032,                0.98595,                0.61158,                 1.0588,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     45,                 1.0883,                0.93635,                 1.1279,                0.85372,                0.83606,                0.90192,                0.65941,                0.98164,                0.60531,                 1.0554,              4.289e-05,              4.289e-05,              4.289e-05
                     46,                 1.0831,                0.93237,                   1.13,                0.85386,                0.83995,                0.90453,                0.65807,                0.98003,                0.60063,                 1.0543,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     47,                 1.0884,                0.93685,                 1.1312,                0.84129,                0.84145,                0.89788,                0.65436,                0.98405,                0.60528,                 1.0566,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     48,                 1.0757,                0.91965,                 1.1232,                0.85538,                0.83691,                0.90184,                0.65948,                0.97671,                0.60248,                 1.0524,              2.311e-05,              2.311e-05,              2.311e-05
                     49,                 1.0689,                 0.9186,                   1.12,                0.85866,                0.84116,                 0.9049,                0.66196,                0.97496,                0.59685,                 1.0511,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     50,                 1.0708,                0.91998,                 1.1245,                0.85356,                0.84195,                0.90245,                 0.6576,                0.97435,                0.59539,                 1.0518,             9.9234e-06,             9.9234e-06,             9.9234e-06
