                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1216,                 5.2886,                 4.0282,                0.00192,                0.03702,                0.00148,                0.00042,                 2.6512,                 4.6282,                 3.5844,             0.00011075,             0.00011075,             0.00011075
                      2,                 3.0769,                  4.419,                 3.1291,                0.05395,                0.26559,                0.02737,                0.01143,                 2.0326,                 3.3295,                 2.5036,             0.00019979,             0.00019979,             0.00019979
                      3,                 2.4797,                 3.4821,                 2.3496,                0.59257,                0.15418,                0.17016,                0.09451,                 1.7382,                 2.5877,                 1.9134,             0.00026686,             0.00026686,             0.00026686
                      4,                 2.1235,                 2.9309,                  2.026,                0.61642,                0.31002,                0.31743,                0.19302,                 1.5765,                 1.9857,                 1.6814,              0.0002341,              0.0002341,              0.0002341
                      5,                 1.9141,                 2.5607,                 1.8417,                0.70153,                 0.3765,                0.42924,                0.26617,                 1.4877,                 1.6437,                 1.5789,             0.00020113,             0.00020113,             0.00020113
                      6,                 1.7621,                 2.2763,                 1.7138,                0.72171,                0.43969,                0.50959,                0.32552,                 1.3892,                 1.4133,                 1.4703,             0.00016817,             0.00016817,             0.00016817
                      7,                 1.6739,                 2.1248,                 1.6519,                0.79725,                0.43358,                0.53198,                0.34562,                 1.3354,                  1.335,                  1.426,              0.0001352,              0.0001352,              0.0001352
                      8,                 1.6062,                 2.0011,                 1.5979,                0.77828,                0.47856,                0.56789,                0.36417,                 1.3491,                 1.2471,                 1.4078,             0.00010223,             0.00010223,             0.00010223
                      9,                 1.5631,                 1.9189,                 1.5649,                0.76005,                0.50887,                0.60089,                0.39584,                 1.2718,                 1.1737,                 1.3605,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     10,                 1.5458,                 1.8708,                 1.5444,                0.78764,                0.50955,                0.60813,                 0.4021,                 1.2568,                 1.1619,                 1.3543,             3.6297e-05,             3.6297e-05,             3.6297e-05
